log.annual.inc,dti,fico,days.with.cr.line,inq.last.6mths,pub.rec,predicted_loan_amnt,all_other,credit_card,debt_consolidation,educational,home_improvement,major_purchase,small_business
9.994241916,11.41,692,5239.041667,1,0,7167.5,0,0,0,0,0,1,0
11.22524339,6.06,742,3149.041667,0,0,10930.75,0,1,0,0,0,0,0
11.17043516,6.83,717,3810.0,1,0,16205.5,0,0,1,0,0,0,0
11.05885818,8.35,732,4079.958333,0,0,16313.75,1,0,0,0,0,0,0
10.6933984,19.04,757,7049.958333,1,0,10686.5,0,0,0,0,0,1,0
11.1927202,17.85,757,8465.041667,0,0,16917.25,0,0,0,0,1,0,0
11.03488966,17.79,707,3921.958333,3,0,15551.75,0,0,1,0,0,0,0
10.59663473,7.89,672,8460.0,2,0,11212.0,0,0,1,0,0,0,0
12.10071213,10.9,677,4860.0,2,1,22988.0,0,1,0,0,0,0,0
11.56171563,13.93,762,5132.0,2,0,19992.0,0,0,0,0,1,0,0
10.77895629,21.75,717,6175.0,3,0,12478.75,0,0,1,0,0,0,0
10.04324949,9.34,732,1619.958333,0,0,9331.25,0,0,0,0,0,1,0
10.96819829,24.72,702,6839.041667,0,0,16202.25,0,0,1,0,0,0,0
11.26446411,8.74,727,7740.0,0,0,14354.5,0,0,0,0,1,0,0
10.83958091,13.74,717,3752.0,1,0,10488.5,1,0,0,0,0,0,0
11.21182037,17.94,717,4290.0,4,1,8434.25,1,0,0,0,0,0,0
10.93310697,18.06,742,3180.0,0,0,12196.75,1,0,0,0,0,0,0
11.77528973,8.23,702,10590.0,2,1,22599.0,0,0,1,0,0,0,0
11.58988651,22.31,712,5699.958333,1,0,14048.5,0,0,1,0,0,0,0
11.51288546,14.04,687,6539.958333,1,0,20213.0,0,0,1,0,0,0,0
12.21106019,18.33,732,4470.041667,2,0,16687.5,1,0,0,0,0,0,0
11.19821472,6.94,737,6900.0,0,0,17266.75,0,1,0,0,0,0,0
10.91508846,6.2,712,2646.041667,3,0,7256.75,0,1,0,0,0,0,0
12.32385568,11.37,697,4589.958333,0,0,22285.0,0,1,0,0,0,0,0
10.77895629,13.68,692,4920.041667,0,0,12199.5,0,0,1,0,0,0,0
11.22524339,15.49,677,2430.0,4,0,16999.833333333332,1,0,0,0,0,0,0
11.15625052,4.92,792,4140.0,0,0,14785.5,1,0,0,0,0,0,0
11.38509209,11.95,702,5070.0,0,0,17962.5,0,1,0,0,0,0,0
10.12647109,11.23,682,2460.0,3,0,7739.5,0,0,1,0,0,0,0
10.81977828,27.84,692,3450.0,1,0,11104.5,0,1,0,0,0,0,0
10.83565163,19.13,647,240.0416667,15,0,8456.25,0,0,0,0,1,0,0
10.37349118,1.99,707,2310.0,7,0,8329.25,0,0,0,0,1,0,0
11.66137995,9.22,807,7439.958333,2,0,21690.5,0,0,0,0,1,0,0
10.23995979,22.37,782,13049.95833,0,0,7168.75,0,1,0,0,0,0,0
10.75790288,2.32,762,4474.0,1,0,9962.75,0,0,0,0,0,1,0
11.1844214,5.12,687,1949.041667,0,0,14102.0,1,0,0,0,0,0,0
11.28978191,0.86,717,2092.041667,1,0,15452.75,1,0,0,0,0,0,0
11.77528973,10.2,717,8460.041667,2,0,20161.0,0,0,1,0,0,0,0
11.71177632,4.34,727,4740.0,0,0,22107.0,1,0,0,0,0,0,0
11.28978191,11.07,722,4800.0,1,0,16307.75,1,0,0,0,0,0,0
12.33490552,7.9,747,4680.0,1,0,20288.75,0,0,0,0,0,0,1
11.35510138,25.32,672,4149.958333,3,0,18845.75,0,0,1,0,0,0,0
10.54534144,8.43,697,2280.041667,0,0,9654.75,0,0,1,0,0,0,0
10.6454249,13.49,712,5369.958333,0,0,8010.0,0,0,0,1,0,0,0
11.46507298,0.96,797,8490.041667,1,0,14257.25,1,0,0,0,0,0,0
10.81977828,5.35,762,8370.0,0,0,20532.5,1,0,0,0,0,0,0
9.998797732,9.0,697,1860.0,1,0,8329.0,1,0,0,0,0,0,0
9.884916167,16.32,692,2189.958333,1,0,9089.75,1,0,0,0,0,0,0
10.858999,6.55,692,3510.041667,1,1,11900.25,1,0,0,0,0,0,0
11.17049149,18.84,682,7920.0,0,0,14270.5,0,0,0,0,1,0,0
11.8493977,11.97,742,6388.041667,4,0,24373.25,0,0,0,0,0,0,1
10.87804719,22.35,672,14580.0,1,1,13350.75,0,0,1,0,0,0,0
10.55581274,23.09,687,5010.0,1,0,12427.0,0,0,0,0,1,0,0
10.59663473,24.0,737,5430.0,0,0,9139.25,0,0,1,0,0,0,0
10.19913779,23.75,722,5070.0,1,0,11683.5,0,0,1,0,0,0,0
11.42954386,8.28,692,6030.041667,2,1,17843.75,1,0,0,0,0,0,0
11.3409502,21.72,712,5250.041667,0,0,25615.0,0,0,1,0,0,0,0
10.6454249,9.97,712,5639.958333,0,0,12052.5,1,0,0,0,0,0,0
11.42954386,2.78,682,3869.958333,4,0,19482.25,0,1,0,0,0,0,0
10.81977828,9.96,682,5279.958333,3,0,12857.0,0,0,1,0,0,0,0
10.79957558,18.59,722,5430.0,0,0,12812.75,0,1,0,0,0,0,0
8.29404964,8.1,682,368.0,1,0,8108.75,0,0,0,1,0,0,0
13.08154138,2.4,697,2759.958333,3,0,19157.5,0,0,0,0,0,0,1
11.35040654,24.27,737,5610.0,3,0,15551.75,0,1,0,0,0,0,0
11.29476946,3.67,772,4410.0,1,0,16380.1875,0,1,0,0,0,0,0
11.15625052,15.87,697,4499.958333,1,0,15331.25,0,0,1,0,0,0,0
12.25486281,17.94,687,7770.041667,8,0,20797.0,1,0,0,0,0,0,0
10.86856845,17.44,652,3930.0,1,0,14697.0,0,0,0,0,0,1,0
11.28973191,14.93,682,3689.958333,2,0,18141.75,0,0,1,0,0,0,0
10.12647109,18.39,677,1530.0,1,0,10217.0,0,0,1,0,0,0,0
10.6454249,24.37,757,3390.041667,2,0,10635.5,0,0,1,0,0,0,0
11.07906088,14.13,687,5749.0,2,0,14254.75,0,0,0,0,0,0,1
11.42573225,0.84,782,4890.0,0,0,19605.5,0,0,0,0,0,0,1
11.51292546,7.22,777,6630.041667,2,0,17840.25,0,0,0,0,1,0,0
10.46310334,8.85,732,3149.958333,0,0,11234.75,0,0,1,0,0,0,0
11.42954386,4.73,692,8820.0,3,0,16372.25,1,0,0,0,0,0,0
11.00209984,11.7,732,3721.041667,0,0,14167.75,0,0,0,0,1,0,0
11.45105006,5.96,802,4560.041667,2,0,18422.25,1,0,0,0,0,0,0
10.81977828,20.52,682,4051.0,0,0,13072.75,0,1,0,0,0,0,0
10.81977828,3.89,732,1650.0,1,0,23185.75,1,0,0,0,0,0,0
11.77528973,10.85,682,5071.0,5,0,12692.25,0,1,0,0,0,0,0
10.49127422,23.47,657,4757.0,2,0,11054.5,0,0,1,0,0,0,0
10.54513089,5.18,672,1379.958333,1,0,10169.25,0,1,0,0,0,0,0
10.6454249,12.06,742,6059.958333,1,0,7930.75,0,0,1,0,0,0,0
10.81977828,21.58,667,3119.958333,2,0,14685.0,0,1,0,0,0,0,0
11.85651517,5.59,702,5009.958333,2,0,25733.0,0,1,0,0,0,0,0
9.472704636,10.43,672,959.0416667,0,0,5919.333333333334,1,0,0,0,0,0,0
11.73606902,14.19,687,9930.0,0,0,26400.25,0,0,1,0,0,0,0
9.392661929,2.4,707,1290.041667,1,0,8491.0,0,0,0,0,0,1,0
11.15625052,12.86,692,3839.958333,15,0,14658.0,0,0,0,0,0,1,0
10.14124382,8.79,692,3839.041667,0,0,9480.25,0,0,0,1,0,0,0
10.1266311,19.54,727,3210.0,5,0,10585.5,1,0,0,0,0,0,0
10.93310697,12.64,702,7500.0,2,1,16954.25,0,0,1,0,0,0,0
12.15477935,21.4,682,5430.0,2,0,29207.0,0,0,1,0,0,0,0
11.69524702,21.64,697,3870.041667,1,0,16850.0,0,0,1,0,0,0,0
10.26813067,12.42,662,2160.0,1,0,10820.75,1,0,0,0,0,0,0
10.59663473,19.83,777,11370.0,0,0,9173.75,0,0,1,0,0,0,0
11.56171563,7.27,767,10439.95833,0,0,18332.0,0,0,0,0,0,1,0
10.30895266,9.52,682,2520.0,3,0,7864.25,0,0,0,0,0,1,0
11.00874438,22.45,752,4234.0,0,0,17804.75,0,1,0,0,0,0,0
11.28978191,10.95,702,3420.041667,0,0,17580.5,0,1,0,0,0,0,0
10.96819829,16.9,677,4289.958333,3,0,15181.75,0,0,1,0,0,0,0
10.30895266,4.28,687,4949.958333,0,0,7835.0,1,0,0,0,0,0,0
11.22524339,20.67,707,4230.0,2,0,18993.5,0,0,1,0,0,0,0
10.96819829,2.13,692,2040.0,0,0,11889.25,0,0,0,0,0,0,1
10.25765937,24.63,727,8010.0,0,0,9613.25,0,0,1,0,0,0,0
9.210340372,3.48,647,1169.958333,0,0,5114.0,0,1,0,0,0,0,0
8.699514748,0.0,682,480.0416667,1,0,5207.5,0,0,1,0,0,0,0
10.66895539,14.99,762,7680.0,0,0,13296.75,0,0,0,0,0,1,0
10.75790288,12.28,697,2855.0,1,0,13284.75,0,0,1,0,0,0,0
11.47001796,14.56,732,5639.958333,1,0,27022.5,0,1,0,0,0,0,0
10.65735347,18.15,722,2674.041667,0,0,10885.0,0,0,1,0,0,0,0
11.71177632,24.44,702,5880.0,1,0,26269.75,0,0,0,0,0,0,1
10.88911776,8.89,732,3600.0,2,0,14132.5,0,0,1,0,0,0,0
11.15619338,12.62,722,2911.0,2,0,17215.25,1,0,0,0,0,0,0
11.2771525,13.61,667,3389.958333,1,0,22090.75,0,0,1,0,0,0,0
12.1547583,1.05,777,3930.0,0,0,19127.5,1,0,0,0,0,0,0
10.62132735,13.2,667,4020.0,2,0,10684.75,0,0,1,0,0,0,0
11.62625415,16.29,717,5999.958333,0,0,20154.0,1,0,0,0,0,0,0
10.26813067,7.83,677,1709.958333,0,0,9393.25,0,0,1,0,0,0,0
10.2791805,18.13,732,2462.958333,1,0,7182.25,0,0,1,0,0,0,0
11.1124479,21.62,727,5490.0,4,0,12177.75,0,1,0,0,0,0,0
10.27505111,4.34,687,2280.041667,1,0,8059.25,1,0,0,0,0,0,0
9.952277717,6.34,752,3029.0,0,0,10546.0,1,0,0,0,0,0,0
11.40756495,4.93,667,1740.041667,1,0,18309.5,0,0,0,0,1,0,0
10.6454249,6.57,772,4529.958333,0,0,13913.5,1,0,0,0,0,0,0
10.37349118,16.95,737,2313.958333,0,0,7585.0,0,0,1,0,0,0,0
12.10071213,11.93,717,4498.958333,1,0,18292.75,0,0,0,0,1,0,0
10.91871823,16.13,687,6870.041667,0,0,12758.5,1,0,0,0,0,0,0
11.28978191,8.21,687,299.0,1,0,13193.0,1,0,0,0,0,0,0
10.81977828,16.54,747,3899.958333,0,0,11159.083333333332,0,1,0,0,0,0,0
10.66802473,0.84,772,2820.0,2,0,12976.0,0,0,0,0,0,0,1
10.39513036,20.33,687,2370.0,6,0,8295.5,1,0,0,0,0,0,0
11.70006042,13.99,677,5817.0,2,0,19320.0,0,0,0,0,1,0,0
10.71441777,6.8,722,2640.0,1,0,11401.25,0,0,1,0,0,0,0
11.30220443,15.21,677,5160.0,0,0,19932.75,1,0,0,0,0,0,0
